concept_id,domain,section,concept_type,name,description,aliases,details_md,details_json,source_file,source_path,version
fiis.revenue_schedule.revenue_due_30_33m_pct,fiis,revenue_schedule,field,revenue_due_30_33m_pct,Receitas com vencimento em 30–33 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[10].revenue_due_30_33m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_33_36m_pct,fiis,revenue_schedule,field,revenue_due_33_36m_pct,Receitas com vencimento em 33–36 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[11].revenue_due_33_36m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_3_6m_pct,fiis,revenue_schedule,field,revenue_due_3_6m_pct,Receitas com vencimento em 3–6 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[1].revenue_due_3_6m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_6_9m_pct,fiis,revenue_schedule,field,revenue_due_6_9m_pct,Receitas com vencimento em 6–9 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[2].revenue_due_6_9m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_9_12m_pct,fiis,revenue_schedule,field,revenue_due_9_12m_pct,Receitas com vencimento em 9–12 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[3].revenue_due_9_12m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_over_36m_pct,fiis,revenue_schedule,field,revenue_due_over_36m_pct,Receitas com vencimento acima de 36 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[12].revenue_due_over_36m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_undetermined_pct,fiis,revenue_schedule,field,revenue_due_undetermined_pct,Receitas com vencimento indeterminado.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[13].revenue_due_undetermined_pct,dev-20251030
fiis.risco.beta,fiis,risco,field,beta,Sensibilidade em relação ao IFIX.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[5].beta,dev-20251030
fiis.risco.jensen_alpha,fiis,risco,field,jensen_alpha,Retorno acima do esperado pelo CAPM.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[4].jensen_alpha,dev-20251030
fiis.risco.max_drawdown,fiis,risco,field,max_drawdown,Maior queda acumulada.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[7].max_drawdown,dev-20251030
fiis.risco.r2,fiis,risco,field,r2,Grau de explicação pelo índice de referência.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[6].r2,dev-20251030
fiis.risco.sharpe,fiis,risco,field,sharpe,Retorno acima do CDI dividido pela volatilidade.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[1].sharpe,dev-20251030
fiis.risco.sortino,fiis,risco,field,sortino,Sharpe que penaliza apenas quedas.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[2].sortino,dev-20251030
fiis.risco.treynor,fiis,risco,field,treynor,Retorno excedente dividido pelo beta.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[3].treynor,dev-20251030
fiis.risco.volatilidade,fiis,risco,field,volatilidade,Oscilação dos preços no tempo.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[0].volatilidade,dev-20251030
macro.contexto_macro_e_tomada_de_decisao_em_fiis,macro,,concept,Contexto macro e tomada de decisão em FIIs,"O contexto macroeconômico influencia diretamente FIIs por meio de taxa de juros, inflação, atividade econômica e câmbio. Na SIRIOS, o papel da camada macro é dar referência, não fazer previsão: mostrar se um FII ou carteira está entregando retorno compatível com CDI, SELIC e inflação.","[""cenário macro"", ""macro e FIIs""]",,"{""related_entities"": [""history_b3_indexes"", ""history_market_indicators"", ""history_currency_rates"", ""fiis_financials_snapshot"", ""fiis_financials_risk""], ""typical_questions"": [""como os FIIs se comportaram nesse cenário de juros altos?"", ""meus dividendos estão ganhando da inflação?""]}",data/concepts/concepts-macro.yaml,concepts[4],dev-20251030
macro.inflacao_e_indexadores,macro,,concept,Inflação e indexadores,"Índices de inflação como IPCA, IGPM, INPC e IPCA-15 impactam diretamente contratos de aluguel, recebíveis imobiliários e indexação de receitas dos FIIs. Na SIRIOS, esses indicadores são usados para analisar a proteção do fluxo de caixa contra a inflação e a exposição de cada fundo a diferentes indexadores.","[""IPCA"", ""IGPM"", ""INPC"", ""índices de inflação""]",,"{""related_entities"": [""history_market_indicators"", ""fiis_financials_revenue_schedule""], ""typical_questions"": [""qual está sendo o IPCA acumulado?"", ""qual percentual da receita do fundo está indexado ao IPCA?""], ""typical_uses"": [""avaliar quais FIIs estão mais expostos ao IPCA ou IGPM"", ""comparar crescimento real de renda versus inflação""]}",data/concepts/concepts-macro.yaml,concepts[2],dev-20251030
macro.moedas_e_exposicao_cambial,macro,,concept,Moedas e exposição cambial,"As cotações de dólar e euro em relação ao real importam para fundos que possuem ativos dolarizados, contratos atrelados ao câmbio ou exposição indireta a moedas estrangeiras. A SIRIOS utiliza essas séries para dar contexto a movimentos de preço e risco em fundos sensíveis ao câmbio.","[""dólar"", ""euro"", ""câmbio""]",,"{""related_entities"": [""history_currency_rates"", ""history_market_indicators""], ""typical_questions"": [""como fechou o dólar ontem?"", ""esse fundo é muito exposto ao câmbio?""], ""typical_uses"": [""explicar movimentos de FIIs com contratos dolarizados"", ""avaliar sensibilidade da carteira a choques cambiais""]}",data/concepts/concepts-macro.yaml,concepts[3],dev-20251030
macro.taxas_de_juros_e_indicadores_de_renda_fixa,macro,,concept,Taxas de juros e indicadores de renda fixa,"CDI e SELIC são utilizados como proxies de ativo livre de risco e linha de base para comparar o retorno de FIIs e carteiras. Também servem como referência para cálculo de Sharpe, Treynor e outras métricas de risco.","[""CDI"", ""SELIC"", ""taxa livre de risco""]",,"{""related_entities"": [""history_market_indicators"", ""fiis_financials_risk"", ""fiis_financials_snapshot""], ""typical_questions"": [""qual foi o CDI no último mês?"", ""vale a pena esse FII em relação ao CDI atual?""], ""typical_uses"": [""comparar dividend yield com CDI/SELIC"", ""ajustar retorno pelo ativo livre de risco nas métricas de Sharpe/Treynor""]}",data/concepts/concepts-macro.yaml,concepts[1],dev-20251030
macro.indices_de_mercado_da_b3,macro,,concept,Índices de mercado da B3,"Índices como IBOV, IFIX e IFIL representam carteiras teóricas de ativos negociados na B3 e são usados como referência para avaliar o desempenho de FIIs e carteiras. No contexto da SIRIOS, esses índices ajudam a comparar retorno e risco dos fundos em relação ao mercado.","[""IBOV"", ""IFIX"", ""IFIL"", ""índices de referência""]",,"{""related_entities"": [""history_b3_indexes"", ""fiis_financials_risk"", ""fiis_financials_snapshot""], ""typical_questions"": [""quanto fechou o IFIX ontem?"", ""esse FII rendeu mais que o IFIX nos últimos 12 meses?""], ""typical_uses"": [""calcular beta e alfa de FIIs"", ""comparar retornos de fundos com o IFIX"", ""avaliar se a carteira acompanha ou não o mercado""]}",data/concepts/concepts-macro.yaml,concepts[0],dev-20251030
macro.methodology,macro,,methodology,methodology,,[],"Explicar como a SIRIOS acompanha indicadores macroeconômicos usados no contexto de FIIs: quais séries entram no sistema, como são coletadas e que limitações existem. O objetivo é oferecer contexto textual para RAG, sem prometer recomendações ou retornos financeiros.","{""domain"": ""macro"", ""limitacoes"": [""RAG não substitui dados operacionais em SQL; respostas macro são textuais e históricas."", ""Oscilações de curto prazo não implicam recomendação; o sistema apenas contextualiza movimentos."", ""Fontes podem sofrer revisões; a SIRIOS preserva a versão mais recente publicada sem ajustes manuais.""], ""methodology"": {""principios"": [""Usar fontes públicas e rastreáveis (B3, Banco Central, IBGE, FGV)."", ""Registrar periodicidade e defasagem de cada série antes de qualquer cálculo."", ""Evitar inferir tendências; focar em histórico e referência para comparar FIIs.""], ""proposito"": ""Explicar como a SIRIOS acompanha indicadores macroeconômicos usados no contexto de FIIs: quais séries entram no sistema, como são coletadas e que limitações existem. O objetivo é oferecer contexto textual para RAG, sem prometer recomendações ou retornos financeiros.""}, ""owner"": ""research"", ""periodicidade_e_janelas"": [""IPCA/IGPM/INPC/INCC: atualização mensal; respostas devem citar que são séries encerradas no mês de referência."", ""CDI/SELIC: atualização diária; cálculos de excedente consideram acumulado na janela solicitada."", ""IFIX/IFIL/IBOV e moedas: atualização diária; comparações típicas usam 1m, 3m, 6m, 12m.""], ""series"": {""cdi_selic"": {""cuidados"": ""A SIRIOS não projeta CDI ou SELIC; apenas relata histórico consolidado e evita extrapolações."", ""descricao"": ""CDI e SELIC representam ativo livre de risco para cálculos de Sharpe, Treynor e retorno excedente. As séries vêm do Banco Central e são diárias."", ""uso_no_produto"": ""Funcionam como linha de base para avaliar se um FII entregou retorno compatível com o custo de oportunidade. Também são usados para comparar dividendos com alternativas de renda fixa.""}, ""igpm_inpc_incc"": {""descricao"": ""IGPM, INPC e INCC aparecem em CRIs e contratos de aluguel. São tratados como indexadores alternativos ao IPCA para medir a sensibilidade da receita dos fundos a diferentes índices de preço."", ""uso_no_produto"": ""Permitem responder quais fundos têm receitas atreladas a cada indexador e comparar desempenho real considerando a inflação específica de cada fluxo.""}, ""indices_b3"": {""descricao"": ""IFIX, IFIL e IBOV são índices de referência para medir o comportamento de mercado. As séries diárias são obtidas a partir da B3 e formam a base para cálculos de beta, alfa e comparação de performance."", ""uso_no_produto"": ""Apoiam respostas sobre correlação de FIIs com o mercado e evolução de índices em janelas específicas.""}, ""ipca"": {""cuidados"": ""Mudanças metodológicas do IBGE e revisões podem alterar dados passados; a SIRIOS sempre mantém a última versão disponível sem fazer ajustes próprios."", ""descricao"": ""IPCA mede a inflação oficial e é usado para entender o efeito da alta de preços em contratos de locação e CRIs de FIIs. Os valores são mensais, publicados pelo IBGE, e incorporados com defasagem típica de alguns dias após o fechamento do mês."", ""uso_no_produto"": ""Serve como referência para ajustar dividendos reais, avaliar indexadores de recebíveis e contextualizar perguntas sobre proteção contra inflação.""}, ""moedas"": {""descricao"": ""Dólar e euro são acompanhados para identificar efeitos cambiais em FIIs dolarizados ou com contratos atrelados ao câmbio. As taxas vêm de fontes públicas e são atualizadas diariamente."", ""uso_no_produto"": ""Ajudam a explicar variações de preço ou receita de fundos expostos ao câmbio, sem sugerir operações especulativas.""}}, ""version"": 1}",data/concepts/concepts-macro-methodology.yaml,root,dev-20251030
risk.alfa_de_jensen,risk,,concept,Alfa de Jensen,"Mostra quanto o fundo entregou acima (ou abaixo) do retorno esperado pelo modelo de precificação de ativos (CAPM), dado o seu beta. Indica se o gestor gerou valor além do que o risco de mercado explicaria.","[""alpha de Jensen"", ""Jensen alpha""]",,"{""interpretation"": [""alfa positivo: desempenho acima do esperado para o nível de risco"", ""alfa negativo: desempenho abaixo do esperado""], ""related_entities"": [""fiis_financials_risk"", ""history_b3_indexes""], ""typical_questions"": [""esse FII gera alfa positivo?"", ""qual o alfa de Jensen do VISC11?""]}",data/concepts/concepts-risk.yaml,concepts[4],dev-20251030
risk.beta_e_r2,risk,,concept,Beta e R²,"Beta mede a sensibilidade do fundo em relação a um índice de referência (ex.: IFIX). R² indica o quanto do comportamento do fundo é explicado por esse índice. Juntos, mostram o quanto o FII acompanha o mercado.","[""beta em relação ao índice"", ""coeficiente de determinação""]",,"{""interpretation"": [""beta ~1 e R² alto: fundo se move parecido com o índice"", ""beta >1: fundo amplifica movimentos do mercado"", ""beta <1: fundo mais defensivo em relação ao índice"", ""R² baixo: comportamento menos explicado pelo índice, mais idiossincrático""], ""related_entities"": [""fiis_financials_risk"", ""history_b3_indexes""], ""typical_questions"": [""esse fundo acompanha o IFIX?"", ""esse FII é mais agressivo ou defensivo que o índice?""]}",data/concepts/concepts-risk.yaml,concepts[7],dev-20251030
risk.fronteira_eficiente_e_carteiras,risk,,concept,Fronteira eficiente e carteiras,"A SIRIOS utiliza as métricas de risco e retorno para posicionar FIIs e carteiras em um plano risco versus retorno, aproximando-se do conceito de fronteira eficiente de Markowitz. A ideia é mostrar combinações de ativos que entregam o melhor retorno possível para cada nível de risco.","[""fronteira de Markowitz"", ""eficiência risco-retorno""]",,"{""interpretation"": [""carteiras próximas da fronteira: melhor equilíbrio risco-retorno"", ""carteiras abaixo da fronteira: há combinações potencialmente mais eficientes""], ""related_entities"": [""fiis_financials_risk"", ""fiis_financials_snapshot"", ""client_fiis_positions""], ""typical_questions"": [""minha carteira está eficiente?"", ""como esse FII se posiciona em relação à fronteira de risco-retorno?""]}",data/concepts/concepts-risk.yaml,concepts[8],dev-20251030
risk.maximo_drawdown_mdd,risk,,concept,Máximo Drawdown (MDD),Representa a maior queda acumulada entre um topo e um fundo em determinado período. Mostra o pior cenário de perda para quem entrou no topo e saiu no pior momento da janela.,"[""max drawdown"", ""queda máxima acumulada""]",,"{""interpretation"": [""MDD alto (em valor absoluto): o fundo já passou por quedas profundas"", ""MDD mais contido: quedas históricas menos severas""], ""related_entities"": [""fiis_financials_risk"", ""fiis_quota_prices""], ""typical_questions"": [""qual foi o pior drawdown do MXRF11?"", ""como o MDD desse fundo se compara ao IFIX?""]}",data/concepts/concepts-risk.yaml,concepts[6],dev-20251030
risk.sharpe_ratio,risk,,concept,Sharpe Ratio,"Mede o retorno excedente do fundo em relação a um ativo livre de risco (tipicamente o CDI), dividido pela volatilidade. Avalia o quanto de retorno o investidor recebe para cada unidade de risco assumido.","[""índice de Sharpe""]",,"{""interpretation"": [""Sharpe positivo e alto: bom retorno ajustado ao risco"", ""Sharpe próximo de zero: retorno parecido com o ativo livre de risco"", ""Sharpe negativo: retorno pior que o ativo livre de risco, dado o risco""], ""related_entities"": [""fiis_financials_risk"", ""history_market_indicators""], ""typical_questions"": [""qual o Sharpe do KNRI11?"", ""entre esses FIIs, qual tem melhor Sharpe?""]}",data/concepts/concepts-risk.yaml,concepts[2],dev-20251030
risk.sortino_ratio,risk,,concept,Sortino Ratio,Versão do Sharpe que considera apenas a volatilidade negativa (quedas). Penaliza mais os movimentos para baixo do que os para cima.,"[""índice de Sortino""]",,"{""interpretation"": [""Sortino alto: bom retorno com poucas quedas relevantes"", ""Sortino baixo ou negativo: retorno frágil frente às quedas""], ""related_entities"": [""fiis_financials_risk""], ""typical_questions"": [""qual o Sortino desse FII?"", ""qual fundo tem melhor equilíbrio retorno vs quedas?""]}",data/concepts/concepts-risk.yaml,concepts[5],dev-20251030
risk.treynor_ratio,risk,,concept,Treynor Ratio,"Mede o retorno excedente do fundo em relação ao ativo livre de risco, dividido pelo beta. Foca no risco sistemático, isto é, aquele ligado ao mercado como um todo.","[""índice de Treynor""]",,"{""interpretation"": [""Treynor positivo: o fundo entregou retorno acima do esperado pelo risco de mercado"", ""Treynor negativo: o fundo não compensou o risco sistemático que assumiu""], ""related_entities"": [""fiis_financials_risk"", ""history_b3_indexes"", ""history_market_indicators""], ""typical_questions"": [""qual o Treynor do HGLG11?"", ""qual desses FIIs utiliza melhor o risco de mercado?""]}",data/concepts/concepts-risk.yaml,concepts[3],dev-20251030
risk.visao_sirios_de_risco_em_fiis,risk,,concept,Visão SIRIOS de risco em FIIs,"A SIRIOS enxerga risco como a combinação entre oscilação de preços, retorno ajustado ao risco, comportamento em crises e dependência em relação ao mercado de referência. Os principais insumos são séries históricas de preços, dividendos e benchmarks (IFIX, CDI, outros índices).","[""risco em fundos imobiliários"", ""análise quantitativa de risco""]",,"{""related_entities"": [""fiis_financials_risk"", ""fiis_financials_snapshot"", ""history_b3_indexes"", ""history_market_indicators""], ""related_intents"": [""fiis_financials_risk"", ""metricas""], ""typical_questions"": [""quão arriscado é o HGLG11?"", ""qual o Sharpe do KNRI11?"", ""esse FII é muito volátil?"", ""como minha carteira se comporta em crises?""]}",data/concepts/concepts-risk.yaml,concepts[0],dev-20251030
risk.volatilidade_historica,risk,,concept,Volatilidade histórica,"Mede o quanto o preço de um FII oscila em torno da sua média em um determinado período. Quanto maior a volatilidade, mais instável é o comportamento da cota no tempo.","[""volatilidade"", ""volatility ratio""]",,"{""interpretation"": [""volatilidade baixa: preço mais estável, menor variação diária"", ""volatilidade alta: movimentos mais bruscos, maior incerteza""], ""related_entities"": [""fiis_financials_risk"", ""fiis_quota_prices"", ""history_b3_indexes""], ""typical_questions"": [""qual a volatilidade do MXRF11?"", ""esse FII oscila mais do que o IFIX?""]}",data/concepts/concepts-risk.yaml,concepts[1],dev-20251030
risk.methodology,risk,,methodology,methodology,,[],"Métricas de risco da SIRIOS são calculadas com séries históricas de preços de FIIs, dividendos e benchmarks (IFIX, CDI/SELIC). O foco é medir risco historicamente observado, sem prometer performance futura. Todos os cálculos usam janelas explícitas (ex.: 12m, 24m) e deixam claro o benchmark utilizado.","{""abordagem_geral"": ""Métricas de risco da SIRIOS são calculadas com séries históricas de preços de FIIs, dividendos e benchmarks (IFIX, CDI/SELIC). O foco é medir risco historicamente observado, sem prometer performance futura. Todos os cálculos usam janelas explícitas (ex.: 12m, 24m) e deixam claro o benchmark utilizado."", ""boas_praticas_de_resposta"": [""Sempre citar a janela temporal usada nos cálculos (ex.: 12m, 36m)."", ""Explicar qual benchmark foi adotado: CDI/SELIC para retornos excedentes e IFIX para medidas de mercado."", ""Evitar interpretar métricas como recomendação; usar linguagem descritiva e neutra."", ""RAG deve complementar, não substituir, consultas SQL para valores numéricos atuais.""], ""domain"": ""risk"", ""metricas"": {""alfa_de_jensen"": {""definicao"": ""Diferença entre o retorno observado e o retorno esperado pelo CAPM considerando beta e o benchmark de mercado. Mostra se houve geração de valor além do que o risco explicaria."", ""interpretacao"": ""Alfa positivo sugere desempenho acima do esperado; alfa negativo revela entrega aquém do risco assumido.""}, ""beta_r2"": {""definicao"": ""Beta mede sensibilidade do FII ao IFIX; R² mostra quanto do retorno é explicado pelo índice. Ambos são calculados via regressão sobre retornos históricos."", ""interpretacao"": ""Beta próximo de 1 indica aderência ao mercado; acima de 1 sugere efeito amplificador; abaixo de 1 sugere perfil mais defensivo. R² alto indica comportamento alinhado ao índice; R² baixo aponta idiossincrasia.""}, ""max_drawdown"": {""definicao"": ""Maior perda acumulada entre um topo e o fundo subsequente na janela analisada. É um indicador de estresse para quem entrou no pior momento."", ""interpretacao"": ""Drawdowns profundos mostram vulnerabilidade em crises; números mais contidos indicam quedas historicamente mais controladas.""}, ""sharpe"": {""definicao"": ""(Retorno médio do FII - retorno do CDI/SELIC) dividido pela volatilidade. Avalia retorno excedente por unidade de risco total."", ""interpretacao"": ""Sharpe alto sugere bom equilíbrio risco-retorno; Sharpe negativo indica que o fundo rendeu menos que o ativo livre de risco no período.""}, ""sortino"": {""definicao"": ""Versão do Sharpe que considera apenas desvios negativos. Penaliza quedas com mais intensidade que altas."", ""interpretacao"": ""Sortino elevado mostra consistência de retornos com poucas quedas fortes; valores baixos sinalizam distribuição de retornos assimétrica para baixo.""}, ""treynor"": {""definicao"": ""(Retorno médio do FII - retorno do CDI/SELIC) dividido pelo beta em relação ao IFIX. Mede retorno excedente por unidade de risco sistemático."", ""interpretacao"": ""Treynor positivo indica compensação pelo risco de mercado; Treynor negativo sugere que o risco sistemático não foi remunerado.""}, ""volatilidade"": {""definicao"": ""Desvio-padrão dos retornos periódicos do FII. Mede a oscilação em torno da média de retorno. Janelas curtas capturam ruído recente; janelas longas suavizam eventos isolados."", ""interpretacao"": ""Volatilidade alta indica trajetória mais instável; volatilidade baixa sugere comportamento mais previsível, mas não garante proteção contra quedas.""}}, ""owner"": ""research"", ""version"": 1}",data/concepts/concepts-risk-metrics-methodology.yaml,root,dev-20251030
