"ticker","ref_month","dividends_sum","price_ref","dy_monthly"
"ABCP11","2021-10-01","0.42","66.99","0.00626959247648902821"
"ABCP11","2021-11-01","0.46","61.34","0.00749918487120965112"
"ABCP11","2021-12-01","0.56","69.99","0.00800114302043149021"
"ABCP11","2022-01-01","0.58","74.30","0.00780619111709286676"
"ABCP11","2022-02-01","0.77","77.04","0.00999480789200415369"
"ABCP11","2022-03-01","0.45","72.90","0.00617283950617283951"
"ABCP11","2022-04-01","0.50","73.57","0.00679624847084409406"
"ABCP11","2022-05-01","0.65",NULL,NULL
"ABCP11","2022-06-01","0.59",NULL,NULL
"ABCP11","2022-07-01","0.54",NULL,NULL
"ABCP11","2022-08-01","0.53",NULL,NULL
"ABCP11","2022-09-01","0.55","73.61","0.00747181089525879636"
"ABCP11","2022-10-01","0.52","75.24","0.00691121743753322701"
"ABCP11","2022-11-01","0.55","74.00","0.00743243243243243243"
"ABCP11","2022-12-01","0.60","71.17","0.00843051847688632851"
"ABCP11","2023-02-01","0.50","64.57","0.00774353414898559703"
"ABCP11","2023-03-01","0.50","64.70","0.00772797527047913447"
"ABCP11","2023-04-01","0.50","68.36","0.00731421884142773552"
"ABCP11","2023-05-01","0.50","69.60","0.00718390804597701149"
"ABCP11","2023-06-01","0.50","71.56","0.00698714365567356065"
"ABCP11","2023-07-01","0.50","71.90","0.00695410292072322670"
"ABCP11","2023-08-01","0.50","71.22","0.00702049985959000281"
"ABCP11","2023-09-01","0.50","67.24","0.00743604997025580012"
"ABCP11","2023-10-01","0.60","69.16","0.00867553499132446501"
"ABCP11","2023-11-01","0.60","69.45","0.00863930885529157667"
"ABCP11","2023-12-01","0.60","69.81","0.00859475719810915342"
"ABCP11","2024-01-01","0.65","75.90","0.00856389986824769433"
"ABCP11","2024-02-01","0.82","80.71","0.01015983149547763598"
"ABCP11","2024-03-01","0.50","77.75","0.00643086816720257235"
"ABCP11","2024-04-01","0.50","71.68","0.00697544642857142857"
"ABCP11","2024-05-01","0.47","70.28","0.00668753557199772339"
"ABCP11","2024-06-01","0.47","69.95","0.00671908506075768406"
"ABCP11","2024-07-01","0.35","67.03","0.00522154259286886469"
"ABCP11","2024-08-01","0.62","73.44","0.00844226579520697168"
"ABCP11","2024-09-01","0.62","72.50","0.00855172413793103448"
"ABCP11","2024-10-01","0.70","76.99","0.00909208988180283154"
"ABCP11","2024-11-01","0.70","77.37","0.00904743440610055577"
"ABCP11","2024-12-01","0.70","75.02","0.00933084510797120768"
"ABCP11","2025-01-01","8.95","74.52","0.12010198604401502952"
"ABCP11","2025-02-01","0.50","75.38","0.00663305916688776864"
"ABCP11","2025-03-01","0.50","76.30","0.00655307994757536042"
"ABCP11","2025-04-01","0.50","78.84","0.00634195839675291730"
"ABCP11","2025-05-01","0.60","82.79","0.00724725208358497403"
"ABCP11","2025-06-01","0.80","86.68","0.00922934933087217351"
"ABCP11","2025-07-01","1.15","93.79","0.01226143512101503359"
"ABCP11","2025-08-01","0.50","84.33","0.00592908810624925886"
"ABCP11","2025-09-01","0.50","79.88","0.00625938908362543816"
"ABCP11","2025-10-01","0.50","73.58","0.00679532481652622995"
"ABCP11","2025-11-01","0.65","74.41","0.00873538502889396586"
"AFHI11","2021-10-01","1.05","93.19","0.01126730335872947741"
"AFHI11","2021-11-01","1.20","96.10","0.01248699271592091571"
"AFHI11","2021-12-01","1.25","98.20","0.01272912423625254582"
"AFHI11","2022-01-01","1.30","100.97","0.01287511141923343567"
"AFHI11","2022-02-01","1.30","96.74","0.01343808145544759148"
"AFHI11","2022-03-01","1.30","100.00","0.01300000000000000000"
"AFHI11","2022-04-01","1.35","98.98","0.01363911901394221055"
"AFHI11","2022-05-01","1.35","103.70","0.01301832208293153327"
"AFHI11","2022-06-01","1.40","99.80","0.01402805611222444890"
"AFHI11","2022-07-01","1.40","98.50","0.01421319796954314721"
"AFHI11","2022-08-01","1.30","99.15","0.01311144730206757438"
"AFHI11","2022-09-01","1.15","97.00","0.01185567010309278351"
"AFHI11","2022-10-01","1.00","95.37","0.01048547761350529517"
"AFHI11","2022-11-01","0.95","94.34","0.01006995972016111936"
"AFHI11","2022-12-01","0.96","95.00","0.01010526315789473684"
"AFHI11","2023-01-01","1.00","94.44","0.01058873358746293943"
"AFHI11","2023-02-01","1.05","93.87","0.01118568232662192394"
"AFHI11","2023-03-01","1.06","92.67","0.01143843746627819143"
"AFHI11","2023-04-01","1.10","92.45","0.01189832341806381828"
"AFHI11","2023-05-01","1.10","94.92","0.01158870627897176570"
"AFHI11","2023-06-01","1.10","97.00","0.01134020618556701031"
"AFHI11","2023-07-01","1.10","96.15","0.01144045761830473219"
"AFHI11","2023-08-01","1.05","97.30","0.01079136690647482014"
"AFHI11","2023-09-01","1.05","96.18","0.01091703056768558952"
"AFHI11","2023-10-01","1.05","95.63","0.01097981804872947820"
"AFHI11","2023-11-01","1.02","95.29","0.01070416622940497429"
"AFHI11","2023-12-01","1.00","100.00","0.01000000000000000000"
"AFHI11","2024-01-01","1.00","98.70","0.01013171225937183384"
"AFHI11","2024-02-01","0.95","98.00","0.00969387755102040816"
"AFHI11","2024-03-01","0.95","97.93","0.00970080669866230981"
"AFHI11","2024-04-01","0.95","97.27","0.00976662897090572633"
"AFHI11","2024-05-01","0.95","97.05","0.00978876867594023699"
"AFHI11","2024-06-01","0.96","97.52","0.00984413453650533224"
"AFHI11","2024-07-01","0.95","96.85","0.00980898296334537945"
"AFHI11","2024-08-01","0.95","97.03","0.00979078635473564877"
"AFHI11","2024-09-01","0.93","97.23","0.00956494908978710275"
"AFHI11","2024-10-01","0.93","93.19","0.00997961154630325142"
"AFHI11","2024-11-01","0.93","93.64","0.00993165313968389577"
"AFHI11","2024-12-01","0.95","90.55","0.01049144119271120928"
"AFHI11","2025-01-01","0.95","87.92","0.01080527752502274795"
"AFHI11","2025-02-01","0.97","91.38","0.01061501422630772598"
"AFHI11","2025-03-01","0.98","93.21","0.01051389335908164360"
"AFHI11","2025-04-01","0.99","93.14","0.01062916040369336483"
"AFHI11","2025-05-01","1.00","92.90","0.01076426264800861141"
"AFHI11","2025-06-01","1.01","92.99","0.01086138294440262394"
"AFHI11","2025-07-01","1.09","91.61","0.01189826438161772732"
"AFHI11","2025-08-01","1.01","92.65","0.01090124123043712898"
"AFHI11","2025-09-01","1.01","93.85","0.01076185402237613213"
"AFHI11","2025-10-01","1.01","94.77","0.01065738102775139812"
"AFHI11","2025-11-01","1.01","94.89","0.01064390346717251554"
"AIEC11","2021-10-01","0.61","74.00","0.00824324324324324324"
"AIEC11","2021-11-01","0.61","68.81","0.00886499055369859032"
"AIEC11","2021-12-01","0.61","73.50","0.00829931972789115646"
"AIEC11","2022-01-01","0.61","77.70","0.00785070785070785071"
"AIEC11","2022-02-01","0.61","77.21","0.00790053101929801839"
"AIEC11","2022-03-01","0.68","81.03","0.00839195359743304949"
"AIEC11","2022-04-01","1.31","80.20","0.01633416458852867830"
"AIEC11","2022-05-01","0.72","80.30","0.00896637608966376090"
"AIEC11","2022-06-01","0.72","76.49","0.00941299516276637469"
"AIEC11","2022-07-01","0.80","74.50","0.01073825503355704698"
"AIEC11","2022-08-01","0.72","80.00","0.00900000000000000000"
"AIEC11","2022-09-01","0.73","79.07","0.00923232578727709624"
"AIEC11","2022-10-01","0.73","75.99","0.00960652717462824056"
"AIEC11","2022-11-01","0.74","70.80","0.01045197740112994350"
"AIEC11","2022-12-01","0.75","69.45","0.01079913606911447084"
"AIEC11","2023-01-01","1.32","66.35","0.01989449886963074604"
"AIEC11","2023-02-01","0.18","62.64","0.00287356321839080460"
"AIEC11","2023-03-01","0.75","61.00","0.01229508196721311475"
"AIEC11","2023-04-01","0.76","60.22","0.01262039189637994022"
"AIEC11","2023-05-01","0.77","64.38","0.01196023609816713265"
"AIEC11","2023-06-01","0.78","70.85","0.01100917431192660550"
"AIEC11","2023-07-01","0.78","71.57","0.01089842112617018304"
"AIEC11","2023-08-01","0.76","68.17","0.01114859909050902156"
"AIEC11","2023-09-01","0.76","65.69","0.01156949307352717309"
"AIEC11","2023-10-01","0.76","57.70","0.01317157712305025997"
"AIEC11","2023-11-01","0.76","56.00","0.01357142857142857143"
"AIEC11","2023-12-01","0.78","57.50","0.01356521739130434783"
"AIEC11","2024-01-01","1.33","55.70","0.02387791741472172352"
"AIEC11","2024-02-01","0.17","50.25","0.00338308457711442786"
"AIEC11","2024-03-01","0.71","52.65","0.01348528015194681861"
"AIEC11","2024-04-01","0.71","52.80","0.01344696969696969697"
"AIEC11","2024-05-01","0.71","55.25","0.01285067873303167421"
"AIEC11","2024-06-01","0.73","54.70","0.01334552102376599634"
"AIEC11","2024-07-01","0.73","54.99","0.01327514093471540280"
"AIEC11","2024-08-01","0.73","55.62","0.01312477526069759079"
"AIEC11","2024-09-01","0.73","53.32","0.01369092273068267067"
"AIEC11","2024-10-01","0.73","46.40","0.01573275862068965517"
"AIEC11","2024-11-01","0.62","46.08","0.01345486111111111111"
"AIEC11","2024-12-01","0.62","47.14","0.01315231226134917268"
"AIEC11","2025-01-01","1.22","46.75","0.02609625668449197861"
"AIEC11","2025-02-01","0.17","44.18","0.00384789497510185604"
"AIEC11","2025-03-01","0.32","46.50","0.00688172043010752688"
"AIEC11","2025-04-01","0.32","46.10","0.00694143167028199566"
"AIEC11","2025-05-01","0.32","47.58","0.00672551492223623371"
"AIEC11","2025-06-01","0.32","45.59","0.00701908313226584777"
"AIEC11","2025-07-01","0.32","46.10","0.00694143167028199566"
"AIEC11","2025-08-01","0.34","47.00","0.00723404255319148936"
"AIEC11","2025-09-01","0.34","52.70","0.00645161290322580645"
"AIEC11","2025-10-01","0.34","54.00","0.00629629629629629630"
"AIEC11","2025-11-01","0.34","53.47","0.00635870581634561436"
"AJFI11","2023-12-01","0.07","9.68","0.00723140495867768595"
"AJFI11","2024-01-01","0.07","9.53","0.00734522560335781742"
"AJFI11","2024-02-01","0.08","9.65","0.00829015544041450777"
"AJFI11","2024-03-01","0.08","9.90","0.00808080808080808081"
"AJFI11","2024-04-01","0.07","9.26","0.00755939524838012959"
"AJFI11","2024-05-01","0.07","9.15","0.00765027322404371585"
"AJFI11","2024-06-01","0.06","8.15","0.00736196319018404908"
"AJFI11","2024-07-01","0.06","8.55","0.00701754385964912281"
"AJFI11","2024-08-01","0.07","8.35","0.00838323353293413174"
"AJFI11","2024-09-01","0.07","7.64","0.00916230366492146597"
"AJFI11","2024-10-01","0.07","7.34","0.00953678474114441417"
"AJFI11","2024-11-01","0.07","7.30","0.00958904109589041096"
"AJFI11","2024-12-01","0.07","7.55","0.00927152317880794702"
"AJFI11","2025-01-01","0.07","6.78","0.01032448377581120944"
"AJFI11","2025-02-01","0.07","6.81","0.01027900146842878120"
"AJFI11","2025-03-01","0.07","7.26","0.00964187327823691460"
"AJFI11","2025-04-01","0.07","7.42","0.00943396226415094340"
"AJFI11","2025-05-01","0.07","7.44","0.00940860215053763441"
"AJFI11","2025-06-01","0.06","7.35","0.00816326530612244898"
"AJFI11","2025-07-01","0.06","7.20","0.00833333333333333333"
"AJFI11","2025-08-01","0.06","7.60","0.00789473684210526316"
"AJFI11","2025-09-01","0.06","7.74","0.00775193798449612403"
"AJFI11","2025-10-01","0.03","7.75","0.00387096774193548387"
"AJFI11","2025-11-01","0.05","7.80","0.00641025641025641026"
"ALMI11","2017-04-01","0.37",NULL,NULL
"ALMI11","2024-07-01","6.27","655.00","0.00957251908396946565"
"ALMI11","2024-10-01","3.00","570.00","0.00526315789473684211"
"ALMI11","2024-11-01","5.00","575.39","0.00868975825092545925"
"ALMI11","2024-12-01","7.00","576.01","0.01215256679571535216"
"ALMI11","2025-01-01","4.04","614.20","0.00657766199934874634"
"ALMI11","2025-02-01","4.77","620.38","0.00768883587478642123"
"ALMI11","2025-03-01","3.39","600.00","0.00565000000000000000"
"ALMI11","2025-04-01","1.99","589.96","0.00337311004135873619"
"ALMI11","2025-05-01","2.10","550.99","0.00381132143959055518"
"ALMI11","2025-06-01","3.40","609.87","0.00557495859773394330"
"ALMI11","2025-07-01","5.26","585.00","0.00899145299145299145"
"ALMI11","2025-08-01","3.93","620.00","0.00633870967741935484"
"ALMI11","2025-09-01","4.23","580.51","0.00728669618094434204"
"ALMI11","2025-10-01","4.17","639.99","0.00651572680823137862"
"ALMI11","2025-11-01","3.04","590.00","0.00515254237288135593"
"ALZC11","2024-04-01","1.14","100.00","0.01140000000000000000"
"ALZC11","2024-05-01","1.24","96.00","0.01291666666666666667"
"ALZC11","2024-06-01","1.20","97.00","0.01237113402061855670"
"ALZC11","2024-07-01","1.07","96.00","0.01114583333333333333"
"ALZC11","2024-08-01","1.18","96.00","0.01229166666666666667"
"ALZC11","2024-09-01","1.18","94.99","0.01242236024844720497"
"ALZC11","2024-10-01","1.25","92.00","0.01358695652173913043"
"ALZC11","2024-11-01","1.20","93.99","0.01276731567187998723"
"ALZC11","2024-12-01","1.20","93.50","0.01283422459893048128"
"ALZC11","2025-01-01","1.27","91.00","0.01395604395604395604"
"ALZC11","2025-02-01","0.39","72.84","0.00535420098846787479"
"ALZC11","2025-03-01","1.55","79.13","0.01958801971439403513"
"ALZC11","2025-04-01","1.10","8.63","0.12746234067207415991"
"ALZC11","2025-05-01","0.12","8.65","0.01387283236994219653"
"ALZC11","2025-06-01","0.12","8.21","0.01461632155907429963"
"ALZC11","2025-07-01","0.10","7.51","0.01331557922769640479"
"ALZC11","2025-08-01","0.11","7.45","0.01476510067114093960"
"ALZC11","2025-09-01","0.11","7.78","0.01413881748071979434"
"ALZC11","2025-10-01","0.10","7.62","0.01312335958005249344"
"ALZC11","2025-11-01","0.10","7.58","0.01319261213720316623"
"ALZR11","2021-10-01","0.62","110.80","0.00559566787003610108"
"ALZR11","2021-11-01","0.64","104.60","0.00611854684512428298"
"ALZR11","2021-12-01","0.65","113.83","0.00571026970043046649"
"ALZR11","2022-01-01","0.75","115.17","0.00651211252930450638"
"ALZR11","2022-02-01","0.73","111.70","0.00653536257833482543"
"ALZR11","2022-03-01","0.76","113.36","0.00670430486944248412"
"ALZR11","2022-04-01","0.77","116.04","0.00663564288176490865"
"ALZR11","2022-05-01","0.78","115.20","0.00677083333333333333"
"ALZR11","2022-06-01","0.78","116.50","0.00669527896995708155"
"ALZR11","2022-07-01","0.78","113.50","0.00687224669603524229"
"ALZR11","2022-08-01","0.78","117.48","0.00663942798774259448"
"ALZR11","2022-09-01","5.65","117.23","0.04819585430350592852"
"ALZR11","2022-10-01","0.80","118.17","0.00676990776000676991"
"ALZR11","2022-11-01","0.78","115.49","0.00675383150056281929"
"ALZR11","2022-12-01","0.73","111.01","0.00657598414557247095"
"ALZR11","2023-01-01","0.78","111.40","0.00700179533213644524"
"ALZR11","2023-02-01","0.81","111.71","0.00725091755438188166"
"ALZR11","2023-03-01","0.82","112.00","0.00732142857142857143"
"ALZR11","2023-04-01","0.82","116.89","0.00701514244161177175"
"ALZR11","2023-05-01","0.82","110.95","0.00739071653898152321"
"ALZR11","2023-06-01","0.82","115.36","0.00710818307905686546"
"ALZR11","2023-07-01","0.83","115.03","0.00721550899765278623"
"ALZR11","2023-08-01","0.83","116.76","0.00710859883521754025"
"ALZR11","2023-09-01","0.83","116.79","0.00710677284014042298"
"ALZR11","2023-10-01","0.83","114.63","0.00724068742911977667"
"ALZR11","2023-11-01","0.83","114.29","0.00726222766646250766"
"ALZR11","2023-12-01","0.83","117.64","0.00705542332539952397"
"ALZR11","2024-01-01","0.80","115.30","0.00693842150910667823"
"ALZR11","2024-02-01","0.80","115.89","0.00690309776512209854"
"ALZR11","2024-03-01","0.80","117.96","0.00678195998643608003"
"ALZR11","2024-04-01","0.77","116.73","0.00659641908678146149"
"ALZR11","2024-05-01","0.73","109.99","0.00663696699699972725"
"ALZR11","2024-06-01","0.73","108.44","0.00673183327185540391"
"ALZR11","2024-07-01","0.71","107.78","0.00658749304138059009"
"ALZR11","2024-08-01","0.76","107.71","0.00705598365982731408"
"ALZR11","2024-09-01","0.75","104.89","0.00715034798360186862"
"ALZR11","2024-10-01","0.73","101.50","0.00719211822660098522"
"ALZR11","2024-11-01","0.78","99.67","0.00782582522323668105"
"ALZR11","2024-12-01","0.81","100.75","0.00803970223325062035"
"ALZR11","2025-01-01","0.81","99.48","0.00814234016887816647"
"ALZR11","2025-02-01","0.81","97.70","0.00829068577277379734"
"ALZR11","2025-03-01","0.81","101.20","0.00800395256916996047"
"ALZR11","2025-04-01","0.82","97.97","0.00836990915586404001"
"ALZR11","2025-05-01","0.08","10.04","0.00796812749003984064"
"ALZR11","2025-06-01","0.08","10.11","0.00791295746785361029"
"ALZR11","2025-07-01","0.09","10.02","0.00898203592814371257"
"ALZR11","2025-08-01","0.08","10.14","0.00788954635108481262"
"ALZR11","2025-09-01","0.08","10.60","0.00754716981132075472"
"ALZR11","2025-10-01","0.08","10.50","0.00761904761904761905"
"ALZR11","2025-11-01","0.08","10.63","0.00752587017873941675"
"ANCR11","2024-08-01","1.76","99.00","0.01777777777777777778"
"ANCR11","2024-11-01","1.57","105.00","0.01495238095238095238"
"ANCR11","2025-02-01","2.02",NULL,NULL
"APTO11","2022-01-01","0.03","10.53","0.00284900284900284900"
"APTO11","2022-02-01","0.09","10.19","0.00883218842001962709"
"APTO11","2022-03-01","0.10","10.20","0.00980392156862745098"
"APTO11","2022-04-01","0.11","10.40","0.01057692307692307692"
"APTO11","2022-05-01","0.12","10.10","0.01188118811881188119"
"APTO11","2022-06-01","0.12","9.96","0.01204819277108433735"
"APTO11","2022-07-01","0.13","9.70","0.01340206185567010309"
"APTO11","2022-08-01","0.12","9.37","0.01280683030949839915"
"APTO11","2022-09-01","0.11","9.15","0.01202185792349726776"
"APTO11","2022-10-01","0.10","9.17","0.01090512540894220284"
"APTO11","2022-11-01","0.09","8.92","0.01008968609865470852"
"APTO11","2022-12-01","0.10","8.81","0.01135073779795686720"
"APTO11","2023-01-01","0.10","8.69","0.01150747986191024166"
"APTO11","2023-02-01","0.10","8.14","0.01228501228501228501"
"APTO11","2023-03-01","0.10","8.58","0.01165501165501165501"
"APTO11","2023-04-01","0.10","8.50","0.01176470588235294118"
"APTO11","2023-05-01","0.11","10.00","0.01100000000000000000"
"APTO11","2023-06-01","0.11","9.97","0.01103309929789368104"
"APTO11","2023-07-01","0.11","9.95","0.01105527638190954774"
"APTO11","2023-08-01","0.10","9.90","0.01010101010101010101"
"APTO11","2023-09-01","0.10","9.93","0.01007049345417925478"
"APTO11","2023-10-01","0.10","9.80","0.01020408163265306122"
"APTO11","2023-11-01","0.09","9.72","0.00925925925925925926"
"APTO11","2023-12-01","0.09","9.78","0.00920245398773006135"
"APTO11","2024-01-01","0.09","9.80","0.00918367346938775510"
"APTO11","2024-02-01","0.09","9.54","0.00943396226415094340"
"APTO11","2024-03-01","0.09","9.70","0.00927835051546391753"
"APTO11","2024-04-01","0.09","9.59","0.00938477580813347237"
"APTO11","2024-05-01","0.09","10.65","0.00845070422535211268"
"APTO11","2024-06-01","0.09","9.54","0.00943396226415094340"
"APTO11","2024-07-01","0.09","9.50","0.00947368421052631579"
"APTO11","2024-08-01","0.09","9.59","0.00938477580813347237"
"APTO11","2024-09-01","0.09","9.59","0.00938477580813347237"
"APTO11","2024-10-01","0.09","9.12","0.00986842105263157895"
"APTO11","2024-11-01","0.09","9.01","0.00998890122086570477"
"APTO11","2024-12-01","0.09","8.80","0.01022727272727272727"
"APTO11","2025-01-01","0.09","8.64","0.01041666666666666667"
"APTO11","2025-02-01","0.09","8.59","0.01047729918509895227"
"APTO11","2025-03-01","0.09","8.51","0.01057579318448883666"
"APTO11","2025-04-01","0.09","8.56","0.01051401869158878505"
"APTO11","2025-05-01","0.09","8.56","0.01051401869158878505"
"APTO11","2025-06-01","0.09","8.42","0.01068883610451306413"
"APTO11","2025-07-01","0.10","8.39","0.01191895113230035757"
"APTO11","2025-08-01","0.09","8.48","0.01061320754716981132"
"APTO11","2025-09-01","0.09","8.48","0.01061320754716981132"
"APTO11","2025-10-01","0.09","8.42","0.01068883610451306413"
"APTO11","2025-11-01","0.09","8.40","0.01071428571428571429"
"APXM11","2023-09-01","0.46","100.01","0.00459954004599540046"
"APXM11","2023-10-01","0.37","103.00","0.00359223300970873786"
"APXM11","2023-11-01","0.54","102.00","0.00529411764705882353"
"APXM11","2023-12-01","0.60","102.99","0.00582580833090591320"
"APXM11","2024-01-01","0.58","98.99","0.00585917769471663804"
"APXM11","2024-02-01","0.55","97.00","0.00567010309278350515"
"APXM11","2024-03-01","0.92","99.99","0.00920092009200920092"
"APXM11","2024-04-01","0.74","99.99","0.00740074007400740074"
"APXM11","2024-05-01","0.60","110.00","0.00545454545454545455"
"APXM11","2024-06-01","0.57","99.99","0.00570057005700570057"
"APXM11","2024-07-01","0.46","99.00","0.00464646464646464646"
"APXM11","2024-08-01","0.54","92.10","0.00586319218241042345"
"APXM11","2024-09-01","0.49","96.99","0.00505206722342509537"
"APXM11","2024-10-01","0.47","99.97","0.00470141042312693808"
"APXM11","2024-11-01","0.36","102.00","0.00352941176470588235"
"APXM11","2024-12-01","0.32","105.00","0.00304761904761904762"
"APXM11","2025-01-01","0.28","102.00","0.00274509803921568627"
"APXM11","2025-02-01","0.28","102.00","0.00274509803921568627"
