"ref_date","ipca","selic","cdi","ifix_points","ifix_var_pct","ibov_points","ibov_var_pct","usd_buy_amt","usd_sell_amt","usd_var_pct","eur_buy_amt","eur_sell_amt","eur_var_pct"
"2025-11-14",NULL,"14.90",NULL,"3617","0.71","157739","0.37","5.30","5.30","0.00","6.15","6.16","-0.01"
"2025-11-13",NULL,"14.90","14.90","3591","-0.17","157162","-0.30","5.30","5.30","0.04","6.16","6.17","0.08"
"2025-11-12",NULL,"14.90","14.90","3597","0.12","157633","-0.07","5.29","5.29","0.02","6.14","6.14","0.03"
"2025-11-11",NULL,"14.90","14.90","3593","-0.01","157749","1.60","5.27","5.27","0.02","6.11","6.11","-0.02"
"2025-11-10",NULL,"14.90","14.90","3597","0.11","154064","0.47","5.33","5.33","0.00","6.17","6.17","0.12"
"2025-11-09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-11-08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-11-07",NULL,"14.90","14.90","3597","0.11","154064","0.47","5.33","5.33","0.00","6.17","6.17","0.12"
"2025-11-06",NULL,"14.90","14.90","3593","0.05","153339","0.03","5.35","5.35","0.05","6.18","6.18","0.06"
"2025-11-05",NULL,"14.90","14.90","3591","0.03","153294","1.72","5.36","5.36","0.09","6.16","6.16","0.09"
"2025-11-04",NULL,"14.90","14.90","3590","-0.05","150704","0.17","5.40","5.40","-0.04","6.20","6.20","-0.02"
"2025-11-03",NULL,"14.90","14.90","3594","0.22","149540","0.51","5.38","5.38","0.00","6.20","6.23","0.00"
"2025-11-02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-11-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-31",NULL,"14.90","14.90","3594","0.22","149540","0.51","5.38","5.38","0.00","6.20","6.23","0.00"
"2025-10-30",NULL,"14.90","14.90","3586","-0.11","148780","0.10","5.38","5.38","-0.11","6.22","6.23","-0.06"
"2025-10-29",NULL,"14.90","14.90","3590","0.15","148633","0.82","5.36","5.36","0.04","6.22","6.22","0.01"
"2025-10-28",NULL,"14.90","14.90","3584","0.04","147429","0.31","5.36","5.36","-0.05","6.24","6.25","-0.06"
"2025-10-27",NULL,"14.90","14.90","3579","0.30","146172","0.31","5.39","5.39","0.04","6.26","6.27","-0.03"
"2025-10-26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-24",NULL,"14.90","14.90","3579","0.30","146172","0.31","5.39","5.39","0.04","6.26","6.27","-0.03"
"2025-10-23",NULL,"14.90","14.90","3568","0.00","145721","0.59","5.38","5.38","0.00","6.25","6.25","0.04"
"2025-10-22",NULL,"14.90","14.90","3572","0.13","144085","-0.29","5.39","5.39","0.03","6.25","6.25","-0.01"
"2025-10-21",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-20",NULL,"14.90","14.90","3578","-0.02","143399","0.84","5.40","5.41","-0.07","6.30","6.30","-0.03"
"2025-10-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-17",NULL,"14.90","14.90","3578","-0.02","143399","0.84","5.40","5.41","-0.07","6.30","6.30","-0.03"
"2025-10-16",NULL,"14.90","14.90","3578","-0.22","142200","-0.28","5.44","5.45","-0.02","6.37","6.37","0.00"
"2025-10-15",NULL,"14.90","14.90","3586","0.30","142604","0.65","5.45","5.45","-0.03","6.35","6.35","-0.03"
"2025-10-14",NULL,"14.90","14.90","3575","0.15","141683","-0.07","5.47","5.48","-0.32","6.34","6.36","-0.34"
"2025-10-13",NULL,"14.90","14.90","3577","0.11","140680","-0.73","5.50","5.53","-0.30","6.39","6.42","-0.30"
"2025-10-12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-10",NULL,"14.90","14.90","3577","0.11","140680","-0.73","5.50","5.53","-0.30","6.39","6.42","-0.30"
"2025-10-09",NULL,"14.90","14.90","3573","-0.11","141708","-0.31","5.38","5.38","0.05","6.22","6.22","0.06"
"2025-10-08",NULL,"14.90","14.90","3577","0.05","142145","0.56","5.35","5.34","0.31","6.23","6.21","0.32"
"2025-10-07",NULL,"14.90","14.90","3575","-0.20","141356","-1.57","5.35","5.36","-0.10","6.24","6.25","-0.06"
"2025-10-06",NULL,"14.90","14.90","3585","0.30","144201","0.17","5.33","5.34","-0.09","6.27","6.27","0.00"
"2025-10-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-04",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-03",NULL,"14.90","14.90","3579","0.13","143803","-0.10","5.36","5.36","0.31","6.29","6.29","0.54"
"2025-10-02",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-10-01","0.09","14.90","14.90","3573","-0.46","145517","-0.49","5.33","5.33","0.00","6.25","6.25","0.05"
"2025-09-30",NULL,"14.90","14.90","3589","0.20","146237","-0.07","5.32","5.32","0.00","6.24","6.24","-0.03"
"2025-09-29",NULL,"14.90","14.90","3582","0.10","146337","0.61","5.31","5.32","-0.18","6.23","6.24","-0.19"
"2025-09-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-26",NULL,"14.90","14.90","3579","0.27","145447","0.10","5.34","5.35","-0.25","6.26","6.25","0.07"
"2025-09-25",NULL,"14.90","14.90","3569","0.13","145306","-0.81","5.36","5.37","-0.01","6.26","6.26","0.04"
"2025-09-24",NULL,"14.90","14.90","3564","0.03","146492","0.05","5.33","5.33","0.09","6.26","6.26","0.14"
"2025-09-23",NULL,"14.90","14.90","3563","0.14","146425","0.91","5.28","5.28","0.00","6.24","6.24","0.07"
"2025-09-22",NULL,"14.90","14.90","3567","0.35","145865","0.25","5.32","5.33","-0.15","6.25","6.25","-0.16"
"2025-09-21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-19",NULL,"14.90","14.90","3567","0.35","145865","0.25","5.32","5.33","-0.15","6.25","6.25","-0.16"
"2025-09-18",NULL,"14.90","14.90","3555","-0.25","145499","-0.06","5.31","5.31","-0.05","6.25","6.25","-0.06"
"2025-09-17",NULL,"14.90","14.90","3563","0.18","145594","1.06","5.31","5.31","0.02","6.28","6.28","0.06"
"2025-09-16",NULL,"14.90","14.90","3557","0.28","144062","0.36","5.30","5.30","0.01","6.28","6.29","0.05"
"2025-09-15",NULL,"14.90","14.90","3535","0.57","142272","-0.61","5.35","5.35","0.04","6.27","6.28","0.00"
"2025-09-14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-12",NULL,"14.90","14.90","3535","0.57","142272","-0.61","5.35","5.35","0.04","6.27","6.28","0.00"
"2025-09-11",NULL,"14.90","14.90","3515","0.00","143151","0.56","5.39","5.39","0.09","6.33","6.33","0.11"
"2025-09-10",NULL,"14.90","14.90","3515","0.25","142349","0.52","5.41","5.40","0.03","6.32","6.33","0.08"
"2025-09-09",NULL,"14.90","14.90","3506","-0.10","141618","-0.12","5.43","5.43","-0.02","6.36","6.37","-0.04"
"2025-09-08",NULL,"14.90","14.90","3500","0.43","142640","1.17","5.41","5.42","-0.10","6.34","6.35","0.00"
"2025-09-07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-06",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-05",NULL,"14.90","14.90","3500","0.43","142640","1.17","5.41","5.42","-0.10","6.34","6.35","0.00"
"2025-09-04",NULL,"14.90","14.90","3486","0.01","140047","0.13","5.45","5.45","0.08","6.35","6.35","-0.09"
"2025-09-03",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-09-02",NULL,"14.90","14.90","3472","-0.20","140335","-0.67","5.47","5.47","0.02","6.37","6.37","0.04"
"2025-09-01","0.48","14.90","14.90","3476","0.70","141422","0.26","5.42","5.43","-0.17","6.35","6.35","0.00"
"2025-08-31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-29",NULL,"14.90","14.90","3476","0.70","141422","0.26","5.42","5.43","-0.17","6.35","6.35","0.00"
"2025-08-28",NULL,"14.90","14.90","3452","0.31","141049","1.32","5.41","5.41","0.02","6.32","6.32","0.00"
"2025-08-27",NULL,"14.90","14.90","3442","0.04","139206","1.04","5.42","5.42","0.02","6.31","6.31","0.10"
"2025-08-26",NULL,"14.90","14.90","3440","0.23","137771","-0.18","5.43","5.43","0.02","6.32","6.33","-0.02"
"2025-08-25",NULL,"14.90","14.90","3430","0.13","137968","2.57","5.42","5.42","0.00","6.35","6.36","0.00"
"2025-08-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-22",NULL,"14.90","14.90","3430","0.13","137968","2.57","5.42","5.42","0.00","6.35","6.36","0.00"
"2025-08-21",NULL,"14.90","14.90","3423","-0.18","134666","0.17","5.47","5.48","-0.14","6.38","6.38","-0.20"
"2025-08-20",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-19",NULL,"14.90","14.90","3429","-0.18","134432","-2.10","5.49","5.50","-0.13","6.40","6.41","-0.20"
"2025-08-18",NULL,"14.90","14.90","3431","0.34","136341","-0.01","5.40","5.40","-0.02","6.32","6.32","0.00"
"2025-08-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-15",NULL,"14.90","14.90","3431","0.34","136341","-0.01","5.40","5.40","-0.02","6.32","6.32","0.00"
"2025-08-14",NULL,"14.90","14.90","3411","-0.03","136687","-0.89","5.39","5.39","0.00","6.31","6.31","0.09"
"2025-08-13",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-12",NULL,"14.90","14.90","3412","-0.19","137914","1.69","5.39","5.40","-0.14","6.29","6.31","-0.11"
"2025-08-11",NULL,"14.90","14.90","3420","0.28","135913","-0.45","5.43","5.43","0.00","6.32","6.33","0.00"
"2025-08-10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-08",NULL,"14.90","14.90","3420","0.28","135913","-0.45","5.43","5.43","0.00","6.32","6.33","0.00"
"2025-08-07",NULL,"14.90","14.90","3410","0.18","136528","1.48","5.42","5.42","0.01","6.32","6.32","0.07"
"2025-08-06",NULL,"14.90","14.90","3404","-0.13","134538","1.04","5.46","5.46","-0.02","6.37","6.37","0.04"
"2025-08-05",NULL,"14.90","14.90","3409","-0.31","133151","0.14","5.50","5.51","-0.01","6.37","6.37","-0.03"
"2025-08-04",NULL,"14.90","14.90","3430","-0.18","132437","-0.48","5.54","5.54","-0.05","6.42","6.42","0.01"
"2025-08-03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-08-01","-0.11","14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-31",NULL,"14.90","14.90","3436","0.67","133071","-0.69","5.60","5.60","0.02","6.39","6.39","0.02"
"2025-07-30",NULL,"14.90","14.90","3420","-0.31","132726","0.45","5.58","5.59","0.05","6.41","6.41","-0.46"
"2025-07-29",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-28",NULL,"14.90","14.90","3445","0.22","133524","-0.21","5.57","5.56","0.03","6.53","6.54","0.00"
"2025-07-27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-25",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-24",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-23",NULL,"14.90","14.90","3433","-0.24","135368","0.99","5.56","5.52","0.00","6.54","6.50","0.00"
"2025-07-22",NULL,"14.90","14.90","3441","-0.09","134036","-0.10","5.56","5.57","0.07","6.54","6.54","0.06"
"2025-07-21",NULL,"14.90","14.90","3465","-0.29","133382","-1.61","5.59","5.58","0.24","6.49","6.49","0.00"
"2025-07-20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-18",NULL,"14.90","14.90","3475","-0.01","135565","0.04","5.54","5.55","-0.13","6.46","6.46","0.40"
"2025-07-17",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-16",NULL,"14.90","14.90","3475","-0.12","135511","0.19","5.57","5.57","0.04","6.48","6.48","0.08"
"2025-07-15",NULL,"14.90","14.90","3479","-0.13","135250","-0.04","5.56","5.56","0.05","6.45","6.45","0.11"
"2025-07-14",NULL,"14.90","14.90","3483","0.24","136187","-0.41","5.56","5.56","0.00","6.50","6.51","0.00"
"2025-07-13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-11",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-10",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-09",NULL,"14.90","14.90","3483","-0.11","137481","-1.31","5.58","5.58","0.13","6.54","6.55","0.10"
"2025-07-08",NULL,"14.90","14.90","3492","-0.11","139490","-1.26","5.49","5.49","0.03","6.44","6.44","0.20"
"2025-07-07",NULL,"14.90","14.90","3495","0.39","141264","0.24","5.42","5.42","0.04","6.39","6.39","0.06"
"2025-07-06",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-04",NULL,"14.90","14.90","3482","0.19","140928","1.35","5.41","5.41","0.07","6.36","6.36","0.13"
"2025-07-03",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-07-02",NULL,"14.90","14.90","3475","0.01","139051","-0.36","5.42","5.43","-0.07","6.40","6.40","-0.02"
"2025-07-01","0.26","14.90","14.90","3475","-0.26","139549","0.50","5.45","5.46","0.00","6.44","6.44","0.00"
"2025-06-30",NULL,"14.90","14.90","3463","0.39","136866","-0.18","5.49","5.48","0.13","6.42","6.43","-0.02"
"2025-06-29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-27",NULL,"14.90","14.90","3463","0.39","136866","-0.18","5.49","5.48","0.13","6.42","6.43","-0.02"
"2025-06-26",NULL,"14.90","14.90","3450","0.21","137114","0.99","5.49","5.48","0.24","6.42","6.40","0.18"
"2025-06-25",NULL,"14.90","14.90","3434","0.13","137165","0.45","5.53","5.53","0.26","6.41","6.41","0.16"
"2025-06-24",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-23",NULL,"14.90","14.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-20",NULL,"14.90","14.90","3441","0.26","138717","-0.09","5.50","5.49","0.31","6.31","6.29","0.07"
"2025-06-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-18",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-17",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-16",NULL,"14.65","14.65","3432","0.01","138840","-0.30","5.50","5.49","0.14","6.32","6.31","0.11"
"2025-06-15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-13",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-12",NULL,"14.65","14.65","3391","-0.49","137800","0.49","5.54","5.54","0.05","6.42","6.42","0.07"
"2025-06-11",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-10",NULL,"14.65","14.65","3408","0.02","137128","0.51","5.54","5.54","0.00","6.36","6.37","0.06"
"2025-06-09",NULL,"14.65","14.65","3408","-0.25","136436","0.54","5.57","5.57","0.01","6.37","6.37","0.01"
"2025-06-08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-06-06",NULL,"14.65","14.65","3416","-0.96","135699","-0.30","5.56","5.56","-0.03","6.35","6.35","-0.02"
"2025-06-05",NULL,"14.65","14.65","3449","0.04","136102","-0.10","5.56","5.56","0.00","6.34","6.34","0.00"
"2025-06-04",NULL,"14.65","14.65","3448","0.01","136236","-0.56","5.59","5.59","0.07","6.40","6.40","0.06"
"2025-06-03",NULL,"14.65","14.65","3454","0.27","137546","0.56","5.64","5.64","0.05","6.41","6.41","-0.02"
"2025-06-02",NULL,"14.65","14.65","3445","-0.49","136787","-0.18","5.68","5.67","0.13","6.50","6.49","0.16"
"2025-06-01","0.24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-30",NULL,"14.65","14.65","3462","0.46","137027","-1.09","5.71","5.73","-0.24","6.50","6.50","0.09"
"2025-05-29",NULL,"14.65","14.65","3462","0.46","137027","-1.09","5.71","5.73","-0.24","6.50","6.50","0.09"
"2025-05-28",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-27",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-26",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-23",NULL,"14.65","14.65","3436","-0.12","138136","0.23","5.67","5.67","0.00","6.46","6.46","0.07"
"2025-05-22",NULL,"14.65","14.65","3440","0.10","137824","0.40","5.66","5.65","0.16","6.42","6.42","0.00"
"2025-05-21",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-20",NULL,"14.65","14.65","3437","0.02","137273","-0.44","5.72","5.72","0.00","6.45","6.46","0.04"
"2025-05-19",NULL,"14.65","14.65","3437","0.06","140110","0.34","5.67","5.67","0.03","6.39","6.39","0.02"
"2025-05-18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-16",NULL,"14.65","14.65","3437","-0.07","139636","0.32","5.65","5.65","-0.08","6.34","6.35","-0.12"
"2025-05-15",NULL,"14.65","14.65","3439","0.47","139187","-0.11","5.67","5.66","0.00","6.33","6.32","0.00"
"2025-05-14",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-13",NULL,"14.65","14.65","3406","-0.17","138423","-0.39","5.64","5.64","-0.07","6.30","6.31","-0.03"
"2025-05-12",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-09",NULL,"14.65","14.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-08",NULL,"14.65","14.65","3408","0.53","136512","0.21","5.65","5.65","0.00","6.35","6.37","0.00"
"2025-05-07",NULL,"14.15","14.15","3390","0.05","136232","2.12","5.68","5.66","0.28","6.38","6.36","0.30"
"2025-05-06",NULL,"14.15","14.15","3388","0.08","133398","-0.09","5.75","5.75","0.00","6.50","6.49","-0.07"
"2025-05-05",NULL,"14.15","14.15","3386","-0.18","133516","0.02","5.71","5.71","-0.06","6.47","6.48","-0.38"
"2025-05-04",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-05-02",NULL,"14.15","14.15","3392","-0.81","133491","-1.22","5.69","5.69","-0.04","6.43","6.44","-0.03"
"2025-05-01","0.26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-04-30",NULL,"14.15","14.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2025-04-29",NULL,"14.15","14.15","3413","0.33","135067","-0.02","5.67","5.68","0.17","6.41","6.42","-0.07"
