data_file,consumer_module,consumer_symbol,used_in_route,used_stage,loader_callsite,notes
data/concepts/catalog.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:45-83,"Incluído via lista `include` do índice; converte YAML em texto"
data/concepts/fiis.md,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:9-33,"Lido por `_read_text` e chunkado para embeddings"
data/embeddings/index.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:45-54,"Define documentos e parâmetros do índice gerado"
data/embeddings/store/embeddings.jsonl,app/planner/planner.py,Planner.explain,"/ask;/ops/quality/push",request,app/planner/planner.py:183-214,"Aberto pelo `EmbeddingStore`; depende de `RAG_INDEX_PATH` e do flag RAG"
data/embeddings/store/manifest.json,-,-,,,-,"Nenhum consumidor identificado além de auditoria manual"
data/entities/cache_policies.yaml,app/cache/rt_cache.py,CachePolicies.__init__,/ask,bootstrap,app/cache/rt_cache.py:12-19,"Instanciado no bootstrap (`app/core/context`) para TTL do cache"
data/entities/fiis_cadastro/entity.yaml,app/builder/sql_builder.py,build_select_for_entity,"/ask;/ops/quality/push",request,app/builder/sql_builder.py:10-37,"Carrega contrato da entidade antes de gerar SQL"
data/entities/fiis_cadastro/entity.yaml,app/planner/param_inference.py,_entity_agg_defaults,"/ask;/ops/quality/push",request,app/planner/param_inference.py:38-50,"Extrai `aggregations.defaults` para compute-on-read"
data/entities/fiis_cadastro/entity.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Documento incluído no corpus de embeddings"
data/entities/fiis_dividendos/entity.yaml,app/builder/sql_builder.py,build_select_for_entity,"/ask;/ops/quality/push",request,app/builder/sql_builder.py:10-37,"Mesmo fluxo das demais entidades"
data/entities/fiis_dividendos/entity.yaml,app/planner/param_inference.py,_entity_agg_defaults,"/ask;/ops/quality/push",request,app/planner/param_inference.py:38-50,"Usado para limites e janelas permitidas"
data/entities/fiis_dividendos/entity.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Incluído no corpus de embeddings"
data/entities/fiis_precos/entity.yaml,app/builder/sql_builder.py,build_select_for_entity,"/ask;/ops/quality/push",request,app/builder/sql_builder.py:10-37,"Define colunas/ordenação para SQL"
data/entities/fiis_precos/entity.yaml,app/planner/param_inference.py,_entity_agg_defaults,"/ask;/ops/quality/push",request,app/planner/param_inference.py:38-50,"Valida janelas e limites inferidos"
data/entities/fiis_precos/entity.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Incluído no corpus de embeddings"
data/entities/fiis_rankings/entity.yaml,app/builder/sql_builder.py,build_select_for_entity,"/ask;/ops/quality/push",request,app/builder/sql_builder.py:10-37,"Contrato consumido pelo builder"
data/entities/fiis_rankings/entity.yaml,app/planner/param_inference.py,_entity_agg_defaults,"/ask;/ops/quality/push",request,app/planner/param_inference.py:38-50,"Fornece defaults (mesmo sem agregações habilitadas)"
data/entities/fiis_rankings/entity.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Incluído no corpus de embeddings"
data/golden/.hash,scripts/observability/hash_guard.py,main,,script,scripts/observability/hash_guard.py:10-40,"Recalcula hashes e escreve `.hash`"
data/golden/m65_quality.json,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Entram no índice vetorial como referência de perguntas"
data/golden/m65_quality.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Mesma lista golden em YAML incluída no índice"
data/ontology/.hash,scripts/observability/hash_guard.py,main,,script,scripts/observability/hash_guard.py:10-40,"Hash guard da ontologia"
data/ontology/entity.yaml,app/planner/ontology_loader.py,load_ontology,"/ask;/ops/quality/push",bootstrap,app/planner/ontology_loader.py:26-43,"Carrega intents/tokens no bootstrap do Planner"
data/ontology/entity.yaml,scripts/core/try_m3.py,<module>,,script,scripts/core/try_m3.py:6,"Script manual instancia Planner com este caminho"
data/ontology/entity.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Documento incluído no corpus de embeddings"
data/ops/quality_experimental/m66_projection.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Enviado ao endpoint (tipo ainda não suportado)"
data/ops/quality_experimental/m66_projection.json,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Incluído no índice de embeddings"
data/ops/quality_experimental/param_inference_samples.json,tests/test_param_inference.py,test_inference_samples,,test,tests/test_param_inference.py:8-17,"Usado como regressão para `infer_params`"
data/ops/quality_experimental/param_inference_samples.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Cron lê via glob, mas payload não atende ao contrato do endpoint"
data/ops/quality_experimental/planner_rag_integration.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Enviado como QA de RAG (endpoint ainda não trata `planner_rag_integration`)"
data/ops/quality_experimental/planner_rag_integration.json,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Incluído no índice vetorial"
data/ops/quality/projection_fiis_cadastro.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Valida colunas do resultado `cadastro_fii`"
data/ops/quality/projection_fiis_dividendos.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Valida colunas da entidade dividendos"
data/ops/quality/projection_fiis_precos.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Valida colunas da entidade preços"
data/ops/quality/projection_fiis_rankings.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Valida colunas da entidade rankings"
data/ops/quality_experimental/rag_search_basics.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Planejado para QA de busca vetorial; backend ainda não implementado"
data/ops/quality/routing_samples.json,scripts/quality/quality_push_cron.py,main,/ops/quality/push,script,scripts/quality/quality_push_cron.py:30-44,"Fonte principal do QA de roteamento"
data/ops/quality/routing_samples.json,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Incluído no corpus de embeddings para hints"
data/ops/observability.yaml,app/observability/runtime.py,load_config,,bootstrap,app/observability/runtime.py:22-25,"Carregado no bootstrap para configurar métricas/tracing"
data/ops/param_inference.yaml,app/planner/param_inference.py,infer_params,"/ask;/ops/quality/push",request,app/planner/param_inference.py:66-115,"Configuração principal de agregações/janelas"
data/ops/planner_thresholds.yaml,app/orchestrator/routing.py,_load_thresholds,/ask,request,app/orchestrator/routing.py:26-85,"Determina gates de score/gap no orquestrador"
data/ops/planner_thresholds.yaml,app/planner/planner.py,_load_thresholds,"/ask;/ops/quality/push",request,app/planner/planner.py:36-209,"Define thresholds e parâmetros de RAG"
data/ops/planner_thresholds.yaml,app/api/ops/quality.py,quality_report,/ops/quality/report,request,app/api/ops/quality.py:112-170,"Lido para calcular quality gates no relatório"
data/ops/planner_thresholds.yaml,scripts/quality/gen_quality_dashboard.py,main,,script,scripts/quality/gen_quality_dashboard.py:6-77,"Gera dashboard Grafana com base no YAML"
